arch,device,mode,tiles,warmup,trials,inner,median_us,p10_us,p90_us,logical_wmma_million_s,nominal_operand_gbps,timed_output_checksum,validation_tiles,validation_checksum,validation_reference_checksum,max_abs,max_rel,max_tolerance_ratio
gfx1201,"AMD Radeon AI PRO R9700",ocp-e4m3,262144,20,31,4,221.742752,221.572754,222.052750,1182.198730,605.285750,4.154246e+10,4096,1.049729e+10,1.049729e+10,6.250000e-02,9.086779e-04,2.187244e-02
gfx1201,"AMD Radeon AI PRO R9700",ocp-e5m2,262144,20,31,4,221.772751,221.582748,222.012741,1182.038817,605.203874,3.678776e+14,4096,9.285152e+13,9.285152e+13,1.024000e+03,6.666667e-02,1.076117e-02
gfx1201,"AMD Radeon AI PRO R9700",f16-e4m3,262144,20,31,4,433.856262,433.686249,434.006256,604.218546,618.719791,4.154246e+10,4096,1.049729e+10,1.049729e+10,0.000000e+00,0.000000e+00,0.000000e+00
gfx1201,"AMD Radeon AI PRO R9700",f16-e5m2,262144,20,31,4,432.366241,432.146484,432.705994,606.300804,620.852024,3.678777e+14,4096,9.285152e+13,9.285152e+13,0.000000e+00,0.000000e+00,0.000000e+00
