arch,device,mode,tiles,warmup,trials,inner,median_us,p10_us,p90_us,logical_wmma_million_s,nominal_operand_gbps,timed_output_checksum,validation_tiles,validation_checksum,validation_reference_checksum,max_abs,max_rel,max_tolerance_ratio
gfx1100,"AMD Radeon Pro W7900 Dual Slot",ocp-e4m3,262144,20,31,4,737.273499,727.403992,740.153748,355.558691,364.092100,4.181046e+10,4096,1.042927e+10,1.042927e+10,0.000000e+00,0.000000e+00,0.000000e+00
gfx1100,"AMD Radeon Pro W7900 Dual Slot",ocp-e4m3-hip-cvt,262144,20,31,4,720.693787,716.423767,732.313782,363.738393,372.468115,4.181046e+10,4096,1.042927e+10,1.042927e+10,0.000000e+00,0.000000e+00,0.000000e+00
gfx1100,"AMD Radeon Pro W7900 Dual Slot",ocp-e5m2,262144,20,31,4,384.162018,383.771759,387.221985,682.378756,698.755847,3.698052e+14,4096,9.234313e+13,9.234313e+13,0.000000e+00,0.000000e+00,0.000000e+00
gfx1100,"AMD Radeon Pro W7900 Dual Slot",f16-e4m3,262144,20,31,4,757.974243,757.213989,760.964294,345.848164,708.297039,4.181046e+10,4096,1.042927e+10,1.042927e+10,0.000000e+00,0.000000e+00,0.000000e+00
gfx1100,"AMD Radeon Pro W7900 Dual Slot",f16-e5m2,262144,20,31,4,757.934265,757.314270,761.114014,345.866406,708.334399,3.698052e+14,4096,9.234313e+13,9.234313e+13,0.000000e+00,0.000000e+00,0.000000e+00
